HERE_segID,direction,alpha,beta,r2
2_10122,0,0.9899999999999999,4.123208003132751,0.24086619401093112
2_10122,1,0.5654394452393766,2.2235756411258483,0.49753235186246725
2_10131,0,0.9899999999999999,1.0753345674104642,-3.012580306228384
2_10131,1,0.9899999999999999,1.0000000000000002,-3.2339230383917306
2_10136,0,0.9899999999999998,1.3591446670307683,-0.8505514960165088
2_10136,1,0.9899999999999999,1.083378209917693,-0.4500764288732175
2_10141,0,0.08335071738350633,3.314007114628334,0.1753069022127517
2_10141,1,0.9899999999999994,1.7133095556349742,-0.14564085133330584
2_10173,0,0.9511595610294725,1.2997218484354771,1.0
2_10173,1,0.9899999999999999,1.0128387418669784,-73.02638954754181
2_10175,0,0.9899999933695148,1.0000000000000375,
2_10175,1,0.9899999999998804,1.0000000072429436,
2_10176,0,0.9899999818725065,1.0000000000004758,
2_10176,1,0.9899999999999363,1.0000000017021458,
2_10182,0,0.9899999999998346,1.0000000000006497,
2_10182,1,0.9899999999999417,1.0000000002794998,
2_10187,0,0.9899999999999999,1.8481947441187176,-28.052076148898482
2_10187,1,0.9899999999999999,1.0000000000000002,-12803.25613507384
2_10195,0,0.9899999999999999,1.0000000000000002,-32.306490549228506
2_10195,1,0.9899999999999999,1.0000000000000002,-35.79502528776227
2_10197,0,0.9899999999999999,1.4227515742942514,-0.10202775968440769
2_10197,1,0.9899999999999999,1.309396835710401,-0.29899581990475177
2_10198,0,0.9899999999999999,1.721918751709098,-0.9949491315990027
2_10198,1,0.9899999999999999,1.7497462029886341,-1.2676514820998608
2_10203,0,0.8312454222147634,2.5165020235039193,0.467427111514751
2_10203,1,0.4332617790393198,3.093325670574355,0.5709065428092196
2_10227,0,0.9899999999999999,3.307471527221822,-470.52784684450523
2_10227,1,0.9899999999999999,2.915817264448823,-224.97046648108693
2_10249,0,0.9899999999999999,1.0682084016861664,-8.523404509633664
2_10249,1,0.9899999999999999,1.000000000000001,-10.575439421484221
2_10251,0,0.9899999999999999,3.38168258641053,-1.4596589562551987
2_10251,1,0.9899999999999999,1.0000000000000002,-712.1522912017915
2_10271,0,0.9899999999999999,3.284238838543828,-28.14671710454311
2_10271,1,0.9899999999999999,1.1514786499060516,-16648.809875455994
2_10273,0,0.9899999999999999,1.8505203052565513,-1.7907780360026782
2_10273,1,0.9899999999999999,1.010292491251751,-654.1327415730946
2_10276,0,0.9899999999999999,1.0481257836236366,-19.573669458169096
2_10276,1,0.9899999999999999,2.2119124090123554,-21.92220147889896
2_10309,0,0.792382225559199,1.0000000000000002,0.8768901236853059
2_10309,1,0.9899999999999999,1.0000000000000044,-76.18066036524043
2_10310,0,0.11994987097772809,2.483035194701448,0.5861908534840898
2_10310,1,0.9899999999999999,1.3210201705028461,-0.35921376402863725
2_10311,0,0.9899999999999882,1.5341213381054406,-0.12932715203361522
2_10311,1,0.9899999999999999,1.0000000000000002,-17.697392059913245
2_10318,0,0.10116922258723174,3.703003736980587,0.44072751261705134
2_10318,1,0.08711059296367812,3.771328671858848,0.32622312029957257
2_10341,0,0.5300557837687359,2.080875156365779,0.43445970393854494
2_10341,1,0.9899999999999999,1.0000000000000002,-7.43765931644624
2_10369,0,0.9899999999999999,1.7335347797823006,-12.01194719129381
2_10369,1,0.9899999999999999,6.161421378123656,-10.297018386780834
2_10375,0,0.9899999999999362,9.999999999999998,-0.757941779715342
2_10375,1,0.9899999999999999,1.0449746623727525,-31550.380841993163
2_10382,0,0.9899999999999999,1.8831903477879397,-1.1117529254127065
2_10382,1,0.9899999999999999,1.5429442150835275,-0.8071200704070509
2_10399,0,0.9899999999999832,3.1678297482461515,0.40484901329692746
2_10399,1,0.9899999999999999,1.0000000000000002,-14.073296923498983
