HERE_segID,direction,alpha,beta,r2
3_10114,0,2.3583939483497174,4.775112313880326,0.31328781403815775
3_10114,1,2.3319065206978937,5.055982793273839,0.39867134564052353
3_10116,0,5.321872327938909,5.2445846666672935,0.47999340977372373
3_10116,1,2.8886903334316862,3.591068839699636,0.5366212871606446
3_10118,0,3.2170745589472927,3.600950990969067,0.7210999724441841
3_10118,1,2.04867535005057,3.4053206100197078,0.5688075039964704
3_10124,0,9.999999998701119,7.550248528859646,0.06037216067655771
3_10128,0,2.8533641315203027,4.93325910827552,0.24976639271439294
3_10128,1,6.956186256231217,5.213496856526605,0.5842080056522541
3_10130,0,3.734569261065286,5.262323940732587,0.33557089844481536
3_10130,1,4.260004356084603,4.811511642624024,0.537227315793938
3_22303,0,9.999999999982375,5.89219720688241,-0.04513767907763411
3_22303,1,1.4459924947211833,2.7898865658505785,0.17765437068606527
3_2286,0,4.765893402651276,6.0593398092255155,0.48296099728207276
3_2286,1,4.897948270177745,4.333761117189519,0.4259560168342227
3_24856,0,5.4379259065508085,6.229838446550393,0.29138314410843436
3_24856,1,7.66220169426073,5.225237089527366,0.5248795046886341
3_25039,0,9.835868115594822,4.42545982373874,0.08621675690052089
3_25043,0,4.725022246969192,7.930772943669737,0.19825122641783643
3_25043,1,9.999999999999998,8.993104776815352,0.15645139464565938
3_25045,0,5.048292282260167,5.103202613646324,0.11293674912552099
3_25045,1,2.0723408641080256,3.477361228463787,0.20731939982049352
3_25046,0,5.091430034552715,5.110558017359415,0.11267713344016939
3_25046,1,2.075545557870829,3.477991687087384,0.20775973426454364
3_25077,0,9.999999999999996,4.708353354629506,0.0006402809980302626
3_25087,0,0.8421092263654337,2.2776138648067548,0.5242102949741227
3_25087,1,1.1140064422019222,1.9800455786017235,0.670618576342785
3_25127,0,9.999999999999998,6.2592623258158255,0.21795854798593228
3_25127,1,2.990567122139362,3.0381789071049887,0.26393949056662136
3_25139,0,3.734569261065286,5.262323940732587,0.33557089844481536
3_25139,1,4.260004356084603,4.811511642624024,0.537227315793938
3_2600+,0,9.999999999999998,6.616790485032704,0.03061488050045491
3_2600+,1,5.497070182703419,5.060137133151461,0.22164465522225407
3_2600-,0,9.999999999999632,3.7641503352773213,0.07918785159632014
3_2600-,1,9.999999999999984,4.4193765831709415,-0.035699386831234525
3_2602+,0,1.9778548986023865,5.351778481878568,0.27051056230454606
3_2602+,1,2.4523124431216874,4.400731599437897,0.33839058953674084
3_2602-,0,2.2576129376611807,3.6752219044332155,0.3703607417867826
3_2602-,1,2.8950819516565818,4.624757549488181,0.3027983326350231
3_2604,0,3.18867431623066,4.564089654674587,0.3858813751096143
3_2604,1,1.1510047370407868,4.290026943319181,0.26938095624590275
3_2768,0,0.7374660331280078,5.134189678249461,0.058347454058994996
3_2768,1,9.999999999999998,9.999999999999998,-0.33230490516073186
3_2768+,0,2.5720100912507076,3.892413728941321,0.0808228344531563
3_2768+,1,9.999999999999996,6.400557632706378,-0.07013832681485055
3_2770,0,1.0243852781174205,2.7181134804334985,0.2375509956240095
3_2770,1,6.6807492273338935,5.6822091255146185,0.24548566970911168
3_2770+,0,0.8142184332468945,2.217124423517551,0.28705364287990076
3_2770+,1,3.3510289805242492,4.206918424810551,0.37122160161164086
3_2770-,0,2.5720100912507076,3.892413728941321,0.0808228344531563
3_2770-,1,9.999999999999996,6.400557632706378,-0.07013832681485055
3_2772,0,0.8142184332468945,2.217124423517551,0.28705364287990076
3_2772,1,3.3510289805242492,4.206918424810551,0.37122160161164086
3_2774,0,1.7948200184980323,4.235705630704188,0.41154979209064624
3_2774,1,2.430310576144463,3.9731785810698743,0.3440481994000628
3_2774+,0,2.7610135429853537,4.113056764396618,0.27974801015624684
3_2774+,1,3.5743370616327828,4.171714890779025,0.35247758281008557
3_2774-,0,2.892202661050342,3.921563142325498,0.5049756807559722
3_2774-,1,1.1814721106324053,3.2737635693574463,0.24771655956171024
3_2776,0,2.7532232014506905,4.28498696277915,0.28909118988730975
3_2776,1,3.4117918833188305,3.983959478287666,0.3517645089572635
3_2778,0,5.069560446277913,5.698253657627753,0.5638236424812537
3_2778,1,9.999999999999998,7.807431095286171,0.3399206783059382
3_2778+,0,9.999999999999998,5.980639506907295,0.21450470407163447
3_2778+,1,9.999999999999998,6.667658211276742,0.21101642995823833
3_2778-,0,9.999999999999918,6.079199320521746,0.2177558534680495
3_2778-,1,9.999999999999996,6.331799955973271,0.2810642495456921
3_2780,0,9.999999999999996,4.708353354629506,0.0006402809980302626
3_2782,0,1.603979248461989,3.3896654806279565,0.42929930680638595
3_2782,1,9.999999999999998,6.839674539441288,0.1918436495316429
3_2784,0,9.999999999999998,6.2592623258158255,0.21795854798593228
3_2784,1,2.990567122139362,3.0381789071049887,0.26393949056662136
3_2786,0,2.8565410218628253,5.258715360438891,0.28406095278750143
3_2786,1,2.363731410496715,5.575661351079019,0.46996754088682724
3_2786+,0,7.417412254857776,3.743072251714794,0.18412665894802283
3_2786+,1,9.999999990023834,4.577313285836009,0.11521649204069206
3_2786-,0,0.6506179873777549,2.560229627368713,0.443931717821318
3_2786-,1,1.8065767953681415,3.5151420962161186,0.4264372601751407
3_2788,0,9.999999999999948,4.101032503286647,0.10967279111314432
3_2788,1,9.999999999972916,4.267937357332167,-0.04595356376478077
3_30672,0,9.17793736857228,5.672247587504648,0.11644658223449611
3_30672,1,1.3817870583105583,2.5889234160737993,0.1848240831833391
3_30674,0,9.264512384032747,5.6761415052586734,0.11653813207873653
3_30674,1,1.3864147864480991,2.5886826810826853,0.1852626310331441
3_31290,0,1.1015547782786437,2.984063712812046,0.18687393704078847
3_31290,1,0.8967445638907294,2.688924715087979,0.5504005910115402
3_31290+,0,3.361726075212172,4.08046646454367,0.2868036002420057
3_31290+,1,4.213751566287504,3.8196102586515916,0.3350645678175579
3_31684+,0,9.9999999488203,5.509542639975441,0.08492788150682373
3_31684+,1,9.999999999999956,2.6797089656552666,-0.12836344019144263
3_31684-,0,9.9999999488203,5.509542639975441,0.08492788150682373
3_31684-,1,9.999999999999956,2.6797089656552666,-0.12836344019144263
3_31694,0,2.26113451925063,3.8534220953857714,0.2825644488282256
3_31694,1,0.25739035069527494,1.0000000000000209,0.42444884088916146
3_34598,0,1.1615214787044652,2.5273214839137528,0.47943443797206164
3_34598,1,0.559665864663383,3.142418359364785,0.33158049605529494
3_35697,0,4.769450950357909,2.5242619243689592,0.14872850045237163
3_35698,0,4.769450950357909,2.5242619243689592,0.14872850045237163
3_35699,0,0.5851385967980153,2.813444094509831,0.20187671976902466
3_35699,1,1.143148790873678,3.3810790563135362,0.17130675103471238
3_38218,0,2.245441361298462,4.171572999462074,0.3646478141458237
3_38218,1,9.999999999999998,6.409150275924514,0.32858926800464594
